idx,feature,Condition Entropy,Information Gain,Mutual information
1,inter_stroke_time,56.694085859,20.9841458821,0.270141909925
2,stroke_duration,54.4759293549,23.2023023862,0.298697612782
3,start_x,56.9138657156,20.7643660255,0.267312547673
4,start_y,57.091539911,20.5866918301,0.265025237684
5,stop_x,56.9460953807,20.7321363604,0.266897635229
6,stop_y,57.8646177705,19.8136139706,0.255072927466
7,direct_end_to_end_distance,56.3683946059,21.3098371352,0.274334735196
8,mean_resultant_lenght,55.2351024722,22.443129269,0.288924306925
9,up_down_left_right_flag,70.5944707527,7.08376098841,0.0911936436969
10,direction_of_end_to_end_line,52.8594435888,24.8187881523,0.319507635486
11,20_pairwise_velocity,62.5270777791,15.151153962,0.195050191313
12,50_pairwise_velocity,54.1636659988,23.5145657423,0.302717572417
13,80_pairwise_velocity,54.1499671281,23.528264613,0.302893926466
14,20_pairwise_acc,55.7700029872,21.9082287539,0.282038201216
15,50_pairwise_acc,54.6509318841,23.027299857,0.296444696807
16,80_pairwise_acc,58.2657649405,19.4124668006,0.249908711431
17,median_velocity_at_last_3_pts,61.5509947024,16.1272370387,0.207615913458
18,largest_deviation_from_end_to_end_line,55.8547565478,21.8234751933,0.280947116125
19,20_dev_from_end_to_end_line,56.4584021903,21.2198295508,0.273176011802
20,50_dev_from_end_to_end_line,56.6956783874,20.9825533537,0.27012140832
21,80_dev_from_end_to_end_line,56.5248229547,21.1534087864,0.272320936153
22,average_direction,52.591454027,25.0867777141,0.322957631139
23,length_of_trajectory,56.6569323139,21.0212994272,0.270620210528
24,ratio_end_to_end_dist_and_length_of_trajectory,56.3302758402,21.3479559009,0.274825461682
25,average_velocity,53.6399365659,24.0382951752,0.309459865865
26,median_acceleration_at_first_5_points,55.9970258184,21.6812059228,0.279115595667
27,mid_stroke_pressure,57.485021578,20.1932101631,0.259959704418
28,mid_stroke_area_covered,65.6919716207,11.9862601204,0.154306552193
29,mid_stroke_finger_orientation,76.6961985821,0.982033158961,0.0126423212392
30,phone_orientation,76.8081642967,0.870067444418,0.0112009172315
